,Whitsunday,Kakadu,MargaretRiver,Sydney,Broome,ByronBay,FreycinetParkTasmania,Uluru,GreatBarrierReef,Daintree,FraserIsland,Melbourne,GreatOceanRoad,RottnestIslandPerth,HobartTasmania,BarossaValleyAdelaide,KarijiniPark,GoldCoast,WilsonsPromontory,KangarooIsland
Whitsunday,0,2089,3978,1350,2994,992,2392,2069,588,599,457,2011,2083,3704,2290,1777,3416,529,2085,1794
Kakadu,2089,0,2766,3132,1259,2998,3831,1584,1575,1540,2545,3288,3233,2412,3717,2537,2030,2615,3485,2334
MargaretRiver,3978,2766,0,4175,1591,4420,4128,1917,3776,3724,4353,3640,3467,359,4045,2870,745,4423,3884,2643
Sydney,1350,3132,4175,0,3677,559,1113,2373,1899,1892,1146,938,1100,3995,1031,1338,3813,1147,882,1539
Broome,2994,1259,1591,3677,0,3722,4060,1408,2612,2565,3436,3502,3384,1233,3953,2652,851,3510,3738,2400
ByronBay,992,2998,4420,559,3722,0,1663,2536,1579,1587,658,1480,1627,4203,1586,1708,3978,638,1440,1859
FreycinetParkTasmania,2392,3831,4128,1113,4060,1663,0,2653,2879,2861,2253,561,685,4038,114,1408,3958,2257,347,1661
Uluru,2069,1584,1917,2373,1408,2536,2653,0,1945,1893,2436,2097,1976,1672,2547,1246,1446,2505,2335,992
GreatBarrierReef,588,1575,3776,1899,2612,1579,2879,1945,0,52,1012,2440,2478,3472,2772,2024,3147,1075,2552,1967
Daintree,599,1540,3724,1892,2565,1587,2861,1893,52,0,1033,2416,2450,3420,2753,1986,3097,1098,2532,1925
FraserIsland,457,2545,4353,1146,3436,658,2253,2436,1012,1033,0,1965,2076,4095,2163,1931,3823,73,1985,2004
Melbourne,2011,3288,3640,938,3502,1480,561,2097,2440,2416,1965,0,192,3527,451,851,3426,1986,247,1106
GreatOceanRoad,2083,3233,3467,1100,3384,1627,685,1976,2478,2450,2076,192,0,3363,588,735,3274,2102,421,985
RottnestIslandPerth,3704,2412,359,3995,1233,4203,4038,1672,3472,3420,4095,3527,3363,0,3948,2723,386,4166,3773,2484
HobartTasmania,2290,3717,4045,1031,3953,1586,114,2547,2772,2753,2163,451,588,3948,0,1301,3862,2170,233,1556
BarossaValleyAdelaide,1777,2537,2870,1338,2652,1708,1408,1246,2024,1986,1931,851,735,2723,1301,0,2594,1980,1092,255
KarijiniPark,3416,2030,745,3813,851,3978,3958,1446,3147,3097,3823,3426,3274,386,3862,2594,0,3894,3672,2345
GoldCoast,529,2615,4423,1147,3510,638,2257,2505,1075,1098,73,1986,2102,4166,2170,1980,3894,0,1997,2059
WilsonsPromontory,2085,3485,3884,882,3738,1440,347,2335,2552,2532,1985,247,421,3773,233,1092,3672,1997,0,1347
KangarooIsland,1794,2334,2643,1539,2400,1859,1661,992,1967,1925,2004,1106,985,2484,1556,255,2345,2059,1347,0
